F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,label
7.41,0.0,0.0,0.0,3.7,7.41,0.0,7.41,11.11,11.11,0.0,0.0,0.0,3.7,11.11,0.0,0.0,29.63,7.41,0.0,1
0.0,0.0,7.41,0.0,3.7,0.0,0.0,22.22,25.93,7.41,0.0,14.81,0.0,7.41,3.7,0.0,0.0,3.7,0.0,3.7,1
3.7,0.0,0.0,3.7,0.0,0.0,0.0,37.04,22.22,7.41,7.41,7.41,3.7,0.0,7.41,0.0,0.0,0.0,0.0,0.0,1
7.41,0.0,7.41,0.0,0.0,22.22,0.0,29.63,7.41,11.11,0.0,3.7,0.0,0.0,0.0,0.0,7.41,3.7,0.0,0.0,1
7.41,0.0,7.41,0.0,14.81,3.7,0.0,3.7,11.11,7.41,3.7,0.0,3.7,0.0,22.22,7.41,0.0,3.7,0.0,3.7,1
0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,3.7,3.7,25.93,0.0,0.0,0.0,25.93,0.0,3.7,33.33,0.0,0.0,1
0.0,0.0,0.0,3.7,0.0,0.0,0.0,3.7,29.63,0.0,14.81,0.0,0.0,3.7,7.41,0.0,0.0,37.04,0.0,0.0,1
0.0,3.7,0.0,0.0,0.0,0.0,0.0,11.11,29.63,25.93,3.7,7.41,0.0,3.7,0.0,0.0,0.0,3.7,0.0,11.11,1
14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,17.86,17.86,0.0,7.14,0.0,7.14,10.71,3.57,10.71,0.0,3.57,1
3.57,0.0,0.0,7.14,10.71,14.29,3.57,14.29,3.57,7.14,3.57,0.0,3.57,3.57,10.71,0.0,7.14,3.57,0.0,3.57,1
7.14,0.0,0.0,0.0,3.57,7.14,3.57,3.57,0.0,17.86,0.0,3.57,10.71,3.57,17.86,3.57,0.0,10.71,3.57,3.57,1
25.0,0.0,0.0,3.57,0.0,10.71,0.0,0.0,7.14,10.71,3.57,0.0,7.14,0.0,10.71,0.0,3.57,10.71,0.0,7.14,1
39.29,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.57,0.0,0.0,1
35.71,0.0,0.0,0.0,0.0,7.14,0.0,0.0,7.14,21.43,0.0,0.0,0.0,0.0,10.71,3.57,7.14,0.0,3.57,3.57,1
0.0,0.0,3.57,0.0,14.29,3.57,7.14,0.0,17.86,10.71,3.57,3.57,0.0,0.0,10.71,0.0,7.14,3.57,7.14,7.14,1
7.14,0.0,0.0,3.57,3.57,7.14,0.0,10.71,7.14,7.14,0.0,0.0,0.0,0.0,10.71,0.0,0.0,39.29,0.0,3.57,1
7.14,3.57,0.0,0.0,0.0,3.57,0.0,3.57,14.29,21.43,3.57,0.0,10.71,10.71,7.14,3.57,7.14,3.57,0.0,0.0,1
28.57,0.0,0.0,0.0,0.0,10.71,0.0,0.0,7.14,17.86,3.57,0.0,0.0,0.0,14.29,0.0,10.71,3.57,0.0,3.57,1
0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,3.57,21.43,0.0,0.0,0.0,0.0,21.43,0.0,0.0,28.57,0.0,0.0,1
46.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,0.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.57,0.0,0.0,7.14,0.0,0.0,0.0,25.0,46.43,3.57,7.14,0.0,0.0,0.0,3.57,0.0,0.0,3.57,0.0,0.0,1
0.0,0.0,0.0,7.14,7.14,0.0,0.0,21.43,28.57,7.14,0.0,0.0,0.0,0.0,0.0,7.14,3.57,17.86,0.0,0.0,1
20.69,0.0,6.9,0.0,3.45,6.9,0.0,3.45,3.45,10.34,0.0,6.9,3.45,6.9,13.79,0.0,3.45,10.34,0.0,0.0,1
34.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.38,0.0,0.0,0.0,17.24,0.0,0.0,0.0,6.9,0.0,0.0,0.0,1
6.9,0.0,0.0,6.9,6.9,20.69,0.0,3.45,13.79,10.34,3.45,6.9,3.45,0.0,3.45,0.0,3.45,10.34,0.0,0.0,1
0.0,0.0,3.45,6.9,0.0,13.79,0.0,27.59,10.34,20.69,0.0,3.45,0.0,0.0,0.0,0.0,3.45,10.34,0.0,0.0,1
24.14,3.45,0.0,6.9,0.0,0.0,0.0,6.9,48.28,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,6.9,0.0,0.0,1
13.79,0.0,0.0,0.0,0.0,3.45,6.9,6.9,3.45,20.69,0.0,0.0,3.45,0.0,13.79,3.45,3.45,0.0,13.79,6.9,1
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83,0.0,0.0,0.0,10.34,0.0,0.0,0.0,0.0,17.24,0.0,0.0,1
0.0,0.0,3.45,3.45,0.0,3.45,0.0,0.0,34.48,10.34,0.0,0.0,0.0,0.0,3.45,0.0,3.45,37.93,0.0,0.0,1
0.0,0.0,0.0,0.0,3.45,13.79,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,37.93,0.0,0.0,41.38,0.0,0.0,1
44.83,0.0,0.0,0.0,0.0,3.45,0.0,0.0,41.38,0.0,0.0,0.0,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,3.45,0.0,0.0,6.9,27.59,10.34,0.0,13.79,0.0,0.0,6.9,0.0,3.45,24.14,0.0,3.45,1
13.33,0.0,0.0,6.67,0.0,10.0,0.0,6.67,13.33,16.67,0.0,0.0,3.33,0.0,10.0,3.33,0.0,13.33,3.33,0.0,1
13.33,0.0,3.33,0.0,0.0,10.0,0.0,6.67,3.33,13.33,3.33,0.0,0.0,3.33,20.0,3.33,3.33,13.33,3.33,0.0,1
10.0,0.0,3.33,0.0,0.0,10.0,0.0,6.67,0.0,20.0,3.33,0.0,0.0,3.33,23.33,3.33,3.33,10.0,3.33,0.0,1
10.0,3.33,0.0,0.0,6.67,3.33,0.0,3.33,3.33,10.0,6.67,3.33,20.0,0.0,10.0,0.0,13.33,6.67,0.0,0.0,1
23.33,0.0,0.0,3.33,0.0,6.67,0.0,6.67,0.0,10.0,10.0,3.33,0.0,0.0,13.33,6.67,0.0,13.33,3.33,0.0,1
3.33,3.33,3.33,0.0,0.0,6.67,3.33,30.0,13.33,10.0,0.0,0.0,0.0,3.33,3.33,0.0,3.33,6.67,6.67,3.33,1
13.33,0.0,0.0,3.33,6.67,3.33,3.33,6.67,16.67,3.33,10.0,6.67,0.0,3.33,3.33,6.67,3.33,0.0,3.33,6.67,1
10.0,0.0,0.0,10.0,0.0,0.0,10.0,33.33,16.67,10.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,6.67,0.0,0.0,1
33.33,3.33,0.0,0.0,0.0,6.67,0.0,0.0,0.0,56.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.0,0.0,0.0,0.0,0.0,10.0,0.0,6.67,0.0,20.0,3.33,3.33,0.0,3.33,23.33,3.33,3.33,10.0,3.33,0.0,1
16.67,0.0,0.0,0.0,3.33,3.33,0.0,0.0,6.67,23.33,13.33,0.0,3.33,0.0,10.0,3.33,0.0,16.67,0.0,0.0,1
0.0,0.0,0.0,0.0,3.33,0.0,0.0,6.67,0.0,6.67,3.33,0.0,0.0,3.33,36.67,0.0,3.33,33.33,3.33,0.0,1
10.0,3.33,0.0,0.0,6.67,0.0,0.0,3.33,6.67,23.33,3.33,0.0,6.67,0.0,10.0,3.33,0.0,20.0,3.33,0.0,1
3.33,0.0,6.67,0.0,0.0,3.33,0.0,10.0,16.67,3.33,0.0,3.33,6.67,0.0,6.67,10.0,6.67,20.0,0.0,3.33,1
10.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,6.67,33.33,0.0,0.0,3.33,0.0,10.0,3.33,6.67,16.67,0.0,6.67,1
6.67,0.0,3.33,6.67,0.0,10.0,0.0,10.0,13.33,16.67,0.0,6.67,0.0,0.0,16.67,0.0,0.0,3.33,0.0,6.67,1
6.67,0.0,6.67,3.33,0.0,6.67,0.0,6.67,16.67,20.0,0.0,3.33,0.0,3.33,16.67,0.0,0.0,3.33,0.0,6.67,1
3.33,0.0,3.33,6.67,0.0,10.0,0.0,6.67,10.0,20.0,0.0,0.0,0.0,3.33,20.0,0.0,6.67,3.33,0.0,6.67,1
3.33,0.0,6.67,3.33,0.0,3.33,0.0,3.33,16.67,16.67,0.0,6.67,0.0,3.33,16.67,0.0,3.33,10.0,0.0,6.67,1
0.0,0.0,3.33,0.0,3.33,10.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,26.67,13.33,0.0,33.33,0.0,3.33,1
3.33,23.33,0.0,0.0,3.33,3.33,0.0,0.0,3.33,0.0,3.33,0.0,0.0,0.0,23.33,0.0,0.0,36.67,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,50.0,0.0,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29.03,0.0,9.68,3.23,3.23,12.9,0.0,6.45,12.9,0.0,9.68,0.0,0.0,0.0,9.68,0.0,0.0,3.23,0.0,0.0,1
9.68,0.0,0.0,6.45,6.45,0.0,3.23,12.9,6.45,12.9,3.23,0.0,0.0,3.23,6.45,0.0,0.0,22.58,6.45,0.0,1
0.0,0.0,9.68,3.23,9.68,6.45,0.0,6.45,19.35,9.68,0.0,0.0,6.45,0.0,12.9,0.0,3.23,0.0,3.23,9.68,1
19.35,6.45,0.0,3.23,0.0,19.35,0.0,6.45,6.45,12.9,0.0,0.0,9.68,0.0,6.45,0.0,9.68,0.0,0.0,0.0,1
3.23,0.0,0.0,0.0,9.68,6.45,6.45,45.16,6.45,6.45,0.0,0.0,0.0,0.0,3.23,3.23,3.23,3.23,0.0,3.23,1
